Cube_Num,K_Scramble,Scramble,Solution,Solution_Length,Time_ms
651,13,"L' U B R U R D' B' U' L D' F D","D' F' D L' U B D R' U' R' B' U' L",13,66.9627
652,13,"F' D' R' U' R L D' F L F' B R' F'","F R F B' L' F' D R' L' U R D F",13,62.6049
653,13,"L' D' L B' F R U' B' L' F' R U' D'","U D R' F L B U R' F' B L' D L",13,53.7217
654,13,"B' U' D' R U' F R' L' F' D' U' D F'","F U F L R F' U R' U D B",11,3.6750
655,13,"F' R U' R' D' U' F' B F U' L R' D","D' L' R U B' U D R U R' F",11,1.5993
656,13,"D U' D U D L' R U R U B' R' U'","U R B U' R' U' R' L D",9,1.3893
657,13,"L D L B R L' B' U' R D' F L' F'","F L F' D R' U B R' L B' L' D' L'",13,5.6300
658,13,"D R B U' F L R' D' L R L R' D'","D L2 D L' R F' U B' R' D'",10,8.7737
659,13,"L' B' D' B' F' L' U' B F' B' D' F' R","R2 F' R U F D F L F2 B D B L",13,70.2870
660,13,"U' R' D R' U' R' L' F' B' D R' B U","U' B' R D' F B R L U R D' R U",13,18.7761
661,13,"L' F D' B U F U' B F U R D' F'","F D R' U' F' B' U F' U' B' D F' L",13,106.1229
662,13,"F L' F L F B R' U F B' R U' B","B' U R' F' B U' R F' B' L' F' L F'",13,38.4742
663,13,"R' F' U' R L B F' D R' F D F' B","F B' D' F' R D' F B' R' L' U F R",13,108.2200
664,13,"D' F U' F' R D L F' L' R' U' L U","U' L' U L R F L' D' R' F U F' D",13,5.2751
665,13,"B D L U L B R' D R' L F' D U","U' D' F L' R D' R B' L' U' L' D' B'",13,3648.6753
666,13,"U D R L' B U L D U B F' L U","U' R' U' D F2 D' F' R L2 F B' D2",12,3.6261
667,13,"R' U L' B R B' F R' D U D F' B","F B' U' D2 R F' B R' B' L U' R",12,19.2297
668,13,"D' L D F' U F L R' B F' U' L' U'","U L U F B' L' R F' U' F D' L' D",13,33.1729
669,13,"R' D' R' D' B L B' D U L U B D'","D B' U' L' U' D' B L' B' D R D R",13,84.0393
670,13,"D' L' B F R D' R' D' B U F' L R","L' R' F U' B' D R D R' F' B' L D",13,113.9552
671,13,"U' R' U' D R F' U B R B' D' L F'","F L' D B R' B' U' F R' U D' R U",13,1866.1098
672,13,"F L R D' R' D' F B' L U' D U F","F' D' L' F' B D R D R' L' F'",11,22.7022
673,13,"R' U' D' B D R U R' L U' D B U","U' B' U D' L' R U' R' D' B' U D R",13,341.7581
674,13,"R D' L F' B' R' B L R' D R U D'","U' D R' D' L' R B' R F B L' D R'",13,10.6845
675,13,"B U F' L' U' R U' D R' B F' D' R","R' D F B' R U D' R' U L F U' B'",13,14.8499
676,13,"R D R' D B L B' U B D' U B U'","U B' U' D B' U' B L' B' D' R D' R'",13,119.5712
677,13,"D R L U L F' R B L D U D F","F' U' D2 L' B' R' F L' U' R' L' D'",12,126.3890
678,13,"R' U B R' L D U R F' D' B' L' F","F' L B D F R' U' D' R L' B' U' R",13,65.6900
679,13,"L D' L F R F U' D L' R' U B D'","D B' U' L R U D' F' R' F' L' D L'",13,275.2375
680,13,"U' R U F U L' R' F D' U' B U B'","B U' B' U D F' R L U' F' U' R' U",13,260.8852
681,13,"R' B' F L R B D R L' U R B L'","L B' R' U' L R' D' B' R' L' F' B R",13,51.3549
682,13,"U D' F U' D R' L' R B D F' B' R","R' F B D' B' L U D' F' U' D",11,17.4683
683,13,"L' B' F' U' D' L' U F R U L U B'","B U' L' U' R' F' U' L U D F B L",13,38.7659
684,13,"F U' L' R U D R' D' L B' D B' F","F' B D' B L' D R U' D' R' L U F'",13,509.8683
685,13,"U' B U' F' B' R' L R F R D R' F'","F R D' R' F' L' F B U B' U",11,5.6426
686,13,"R D L' R' D' R' F' B L R' U' R F'","F R' U L' R F B' R D R L D' R'",13,78.3241
687,13,"R L' B L U R' D' L' F' R F' L' D'","D L F R' F L D R U' L' B' R' L",13,31.6708
688,13,"L' U F L F' B' L B R F' L' B R'","R B' L F R' B' L' F B L' F' U' L",13,34.8213
689,13,"L' F B F' R' U' B U' L F' L' U B'","U' L F L' U B U B2 R L",10,1.3689
690,13,"L' U F' U R D' B' D B F' R' L U'","U L' R F B' D' B D R' U' F U' L",13,202.8478
691,13,"F D L U' F D R' D' R L R D' R'","R D L' F' U' R U R2 U L' D' F'",12,23.3168
692,13,"R L' B L' U D F' U' D' B' R L U'","U L' R' B U D F U' D' L B' R' L",13,87.7918
693,13,"L D' U L' U' L D L' R F D' F L'","L F' D F' U L R' D R U' R' D' L'",13,192.4905
694,13,"U D R U B' U R' L U L U' D R'","R U D' L' U' L' R U' B U' R' U' D'",13,141.3005
695,13,"R D' L' B' U F U' F L F U D' F'","F U' D F' L' F' U F' U' B L D R'",13,15.5768
696,13,"B U L U D F' B F B' L F R U'","U R' F' L' U' D' L' U' B'",9,0.2718
697,13,"F' D' F' U B' D B' U L B F' R L'","L R' F B' L' U' B D' F B F' U' F D F",15,29840.4017
698,13,"L R U' L D' L F R F L D' R F'","F R' D L' F' R' F' L' D L' U R' L'",13,10.2068
699,13,"D U D' B R' L' B R' U F U' B U","U' B' U F' U' R B' R L B' U'",11,0.8261
700,13,"U' L' U' D' B D L R' F' B L' R' D'","D L R F B' L' R D' B' U D L U",13,29.1624
701,14,"U' R B' F' D L' R L' D L R' L U D","U' D' L2 R D' L2 R' D' F B R' U",12,35.8756
702,14,"L' D' U' D' B' D' L F D F B' U L' F'","F L U' F' B D' F' L' D B U D2 L",13,21345.5070
703,14,"B L' F' B D U' L U' L' B' R B' F D","D' F' B R' B L U L' U D' F B' L B'",14,403.7518
704,14,"L D L F' L' D F B L B' D' B U L","L' U' B' D B L' F' B' D' L F L' D' L'",14,1093.7232
705,14,"R' F R' B' L F' B D' L' D U D' F L'","L F' U' L D F B' L' B R F' R",12,23.7343
706,14,"D' L D' F' B' U D' L R B R' L' R U","U' R' U' D F B L' D L' D",10,0.6758
707,14,"R' U' D' U' R' D F' D R B U F' U' F'","F U F U' B' R' D' F D' R U2 D R",13,403.9483
708,14,"U' D B F' D' B R L B F L R' U' R","R' U L' R F' B' L' R' B' D F B' U D'",14,3543.2011
709,14,"B F' L' F R' U D F' B' D L R' D' U","U' D L' R D' F B U' D' R F' L F B'",14,2506.0934
710,14,"D' L' D L U R F' L R L U F U B'","B U' F' U' L2 R' F R' U' L' D' L D",13,66.2993
711,14,"U F' R U F' D' L D U R' U' R D L","L' D' R' U R U' D' L' D F U' R' F U'",14,686.7158
712,14,"B' R' U B L D B' R' L R U D B F'","F B' U' D' L' B D' L' B' U' R B",12,2.8156
713,14,"B L' B' U' B' L U' F B F' R' D U' F'","F U D' R B' U L' B U B L B'",12,21.0561
714,14,"B R F R B' F' U D L B' R' F D R'","R D' F' R B L' U' D' F B R' F' R' B'",14,1560.3899
715,14,"R' F D F L R' B L U' B' L F L' F","F' L F' L' B U L' B' R L' F' D' F' R",14,138.3491
716,14,"R' B D F' B' L' B' U' B' R U' B' L' D","D' L B U R' B U B L F B D' B' R",14,1012.9595
717,14,"R F D' U R' F D L F' R D' F' B U","U' F B' D R' F L' D' F' R U' D F' R'",14,400.0895
718,14,"B U D' U' B D' B L D U D' L F D","D' F' L' U' L' B' D B' D B'",10,0.5585
719,14,"D' F U B' U B F U B F' D' B' R' F","F' R B D F B' U' F B' F2 U' B U' F' D",15,5555.2283
720,14,"U F' B R U' B' L R B L D B' U R'","R U' B D' L' B' L' R' B U R' F B' U'",14,159.9892
721,14,"B' F' U L' U' R' D L' D U R U B R","R' B' U' R' U' D' L D' R U L U' F B",14,3068.7492
722,14,"U B U' D R U R' F B' D F B' D' L","L' D F' B D' F' B R U' R' U D' B' U'",14,6313.2666
723,14,"U' B L F U' F' D U D L' R B L' F'","F L B' L R' U' D2 F U F' L' B' U",13,359.9042
724,14,"L U F R B' U D' L' R' D' L R D' B","B' D L' R' D L R U' D B R' F' U' L'",14,406.0271
725,14,"L B L' D' U F' R U F R' F L R' U'","U L' R F' R F' U' R' F U' D L B' L'",14,1084.0179
726,14,"R' B' L B' L' B F B' L' R B R B L","L' B' R' B' L R' F' L B L' B R",12,47.9223
727,14,"R' D R F D F D L R' L B' R L D'","D L' R' B L2 R D' F' D' F' R' D' R",13,179.7624
728,14,"F' D U L' B' D U' R L U' R' F' D R'","R D' F R U L' R' U D' B L U' D' F",14,7729.7747
729,14,"L D U' F B F' U R' U' F' R U F' L'","L F U' R' F U R U' B' U D' L'",12,36.5567
730,14,"L U' L' D F' R' L B' R' F B' U L U","U' L' U' F' B R B R L' F D' L U L'",14,1762.3508
731,14,"L' U F' B F' U D' L' U R' F L U' B","B' U L' F' R U' L U' D F2 B' U' L",13,47.7345
732,14,"B' R F B' R U' R D' B D' F D R' B","B' R D' F' D B' D R' U R' F' B R' B",14,5284.3452
733,14,"R F' U' D' B R' D' F B' F L D R' F'","F R D' L' F2 B D R B' U D F R'",13,16309.3007
734,14,"U' L F B R D L U L' F' B L' D' L","L' D L F B' L U' L' D' R' F' B' L' U",14,938.6318
735,14,"L' D U R' L' F D F L' U' B U R D","D' R' U' B' U L F' D' F' R L U' D' L",14,5063.6843
736,14,"U' F L' U' D L' B F U' F D U D' F","F' U' F' U F' B' L U D' L F' U",12,45.3805
737,14,"U F U' L U D B D' R' U B R F' L'","L F R' B' U' R D B' U' D' L' U F' U'",14,722.0902
738,14,"D L F' R' U R D' B L' R' L R F' R'","R F B' D R' U' R F L' D'",10,1.3219
739,14,"L' B' L' B D F' R' L R U' B' U' F' U'","U F U B U L' F D' B' L B L",12,9.7002
740,14,"R' U R L U' F' U D F' D' L' D' L' F'","F L D L D F U' D' F U R' L' U' R",14,729.7047
741,14,"R L' R' B' D' R' D L B' D B R D' F","F' D R' B' D' B L' D' R D B L",12,24.0155
742,14,"L R B' U R' D' B' L B' R L' R' L F'","F B L' B D R U' B R' L'",10,1.1708
743,14,"F D' B F' R L B U' F' U F L' R L","R' F' U' F U B' R' L' F B' D F'",12,25.7508
744,14,"U F L B F' L R' D F' B' U D' U' L","L' D F B D' R L' F B' L' F' U'",12,5.2477
745,14,"B' U' L' R U' L B' U' D U' F' L D U","U' D' L' F U2 D' B L' U R' L U B",13,56.2975
746,14,"D F L' D R' B' R' U L F B' R' U R'","R U' R F' B L' U' R B R D' L F' D'",14,3229.2337
747,14,"D U R B' D' U' L' D F D L' R U L","L' U' L R' D' F' D' L U D B R' U' D'",14,587.4088
748,14,"L U' R' B' L F U D' R' D' F' D' U R'","R U' D F D R U' D F' L' B R U L'",14,140.2497
749,14,"B' F R D' R D L' D L' R B' L' R L","R' B L R' D' L D' R' D R' F' B",12,8.0080
750,14,"B' U B R' L R B' U D F' L D' L U","U' L' D L' F U' D' B L' B' U' B",12,7.5952
751,14,"D' B U D' F L U' L' U B' U F' L D","D' L' F U' B U' L U L' F' U' D B' D",14,588.9250
752,14,"U' R' L' R D R D' L B' F' R' F R' U'","U R F' R F B L' D R' D' L U",12,13.5870
753,14,"L F U R F L' F' D U D' F' L' U' F'","F U L F U' F L F' R' U' F' L'",12,7.5794
754,14,"R' F' R U' R D' U L D R B' F' L D","D' L' F B R' D' L' U' D R' U R' F R",14,424.3124
755,14,"L U B' D F U' R B R U' R L' R L'","L2 R2 U R' B' R' U F' D' B U' L'",12,5.5049
756,14,"R' U B U' R' D' B L' F' B' F' D' U' B","B' U D F2 B L B' D R U B' U' R",13,43.5749
757,14,"L B R' F' L' B U' B' R' D B D' U B'","B U' D B' D' R B U B' L F R B' L'",14,26025.5287
758,14,"B' D' R' F' R' L' F U' D' B U D' B U'","U B' U' D B' U D F' R L F R D B",14,4567.0659
759,14,"L U L R' B L R' F' B D B' D F' U","U' F D' B D' F B' L R L2 B' R L' U' L'",15,1742.8377
760,14,"B R U' F R' L R U L F' D B' F' D","D' F B D' F L' U' L' F' U R' B'",12,60.3567
761,14,"L' B L' R F' U' F D' U L F B U D'","U' D F' B' L' U' D F' U F R' L B' L",14,2963.4345
762,14,"R U D' F B' F' R' D' L D' U' R B L","L' B' R' U D L' D R B U' D R'",12,16.0636
763,14,"R U' B D' U' D B' D' B' D' B' D' F L","L' F' D B D B D B U B' U R'",12,17.5347
764,14,"B' R' L' B' D R L B' D' R' F' B' R U","U' R' F B R D B R' L' D' B R L B",14,206.5944
765,14,"U F' D F' U' L B' D' U' D U' D U' R","R' U' D' B L' U F D' F U'",10,0.1014
766,14,"U F' L' R' U' D' U' R D R' D' U' R' F","F' R U D R D' R' U2 D R L F U'",13,59.1995
767,14,"U F' B' F' L' F' R' B' F B' U' L B' R'","R B L' U F' B2 R F L F2 B U'",12,8833.9347
768,14,"B' R' B F' L F' L U' D' R' F D' R B'","B R' D F' R U D L' F L' F B' R B",14,904.4072
769,14,"B' D' U F' D' R' F' D B L R' D U' L","L' F' B L' D' B D L U D' R U L' F",14,2365.0124
770,14,"D' R' L B F' B' U R B U' R' L F R'","R F' L' R U B' R' U' F R L' D",12,191.0666
771,14,"D R' U D' L D L' U R L' F B' D' F'","F U L' B R' U' D F' B R' U' D R D'",14,620.6522
772,14,"U D' R D' R U R D' R F U R' U L","L' U' R U' F' R' D R' U' R' D R' U' D",14,1270.4512
773,14,"L R' B' F' B F' U L' U' L B' R L U","U' L' R' B L' U L U' F2 R L'",11,4.4614
774,14,"R U' L' B' L F R' F' L' R' L' D' B' U","U' B D L2 R F R F' L' B L U R'",13,16.5291
775,14,"L' F U' B' D F' B' R' U R' U' R' F' L","L' F R U R U' R F B D' B U F' L",14,14321.8024
776,14,"D' U F B U F R' F D B L F' R' D'","D R F L' B' D' F' R F' U' F' B' U' D",14,489.5619
777,14,"B F L R D R B' D' L' F R B L R","L' R' B' R' F' L D B R' D' R' L' F' B'",14,713.6627
778,14,"F B' U' B D' F B' R' U' R' U' F L F","F' L' F' U R U R F' B D B' U F' B",14,3800.4612
779,14,"U D' L' R' B' F' U' D B' R' F' B R B","B' R' F B' R B U D' F B R L U' D",14,1624.2151
780,14,"R' L F U' R' B L' D F' B R F' L U'","U L' F R' F B' D' L B' R U F' R L'",14,346.9839
781,14,"D' B F' U' F D' B' D' R' D' F' L' U B'","B U' L F D R D B D F' U F B' D",14,206.5830
782,14,"D U B' U D' U R' U' F B U' F R L'","L R' F' U F' B' U R U2 D B U' D'",13,221.5849
783,14,"F' L B R' L F' D' F B F U' D' R D","D' R' U D F2 B' D F R L' B' L' F",13,3144.7369
784,14,"L R' B L B' F B D' L U' R' B D R'","R D' B' R U L' D F' L' B' R L'",12,29.9403
785,14,"L' U' R' U' R' D' U' D' L' F U' D R D'","D R' U D' F' L U D2 R U R U L",13,126.1547
786,14,"L' F R L' U' R B F' L' D B' L' F' L'","L F L B D' L F B' R' U R' L F' L",14,2565.2932
787,14,"U D' F U' R' D B U' L B L F B U'","U F' B' L' B' L' U B' D' R U F' U' D",14,611.8178
788,14,"B' U' R L' U B F' B L F B' D R B","B' R' D' F' B L' F B2 U' R' L U B",13,435.6203
789,14,"D' R F D' B' R' U L B L' U D' U R'","R U2 D L B' L' U' R B D F' R' D",13,122.0138
790,14,"B L U R' D U' R B U' L' B F L' F'","F L F' B' L U B' R' U D' R U' L' B'",14,803.7892
791,14,"F' B R U R' F L' R' D R' F' D U' D","U D2 F R D' L R F' R U' R' F B'",13,24.6801
792,14,"F' L' F D' F' U F D' L' F D' F U' F","F' U F' D F' L D F' U' F D F' L F",14,414.4981
793,14,"U F' B' L' F' L' D' R' F B' D' L D F'","F D' L' D F' B R D L F L F B U'",14,1151.0312
794,14,"D' L' U B L' B' U D' B D L U' R' D'","D R U B' L' U2 D L F L U' F' U",13,109.6913
795,14,"L' F B U L F' L R' F' D' U D R' L'","L R U' F L' R F L' U' F' B' L",12,4.1950
796,14,"L R F D' B' R' F L' U L' F U' D' B'","B U D F' L U' L F' R B D F' R' L'",14,4468.7533
797,14,"B' D' R U R B L D' R U' D' F' R L","L' R' F U D R' D L' B' R' U' R' D B",14,14944.9335
798,14,"U L' D' U' R U F' U' L F U B U' D","U D' B' U' F' L' U F U' R' U D L U'",14,2199.6111
799,14,"F U' F' R' B' R' F' B D' L' F' L' D L'","L D' L F L D F B' R B R F U F'",14,815.5241
800,14,"U' D' R' D' U F R D U R' B F' B F","B2 R U' D' R' F' U' D R U D",11,8.2048
